task_id	name	status	energy_consumption	CO2e	time	cpus	powerdraw_cpu	cpu_model	cpu_usage	requested_memory
6	SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (ddVioOdor1_1)	COMPLETED	196.31 uWh	45.37 ug	39.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.9009999999999999	100.0 MB
2	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (ddVioOdor1_1)	COMPLETED	154.05 uWh	35.6 ug	38.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.725	100.0 MB
11	SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (ddVioOdor1_1)	COMPLETED	195.56 uWh	45.2 ug	40.0ms	1	12.0	Intel Xeon Processor (Skylake, IBRS)	0.875	100.0 MB
3	SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (ddVioOdor1_1)	COMPLETED	18.3 mWh	4.23 mg	2s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.622	12.0 GB
5	SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (dicots)	COMPLETED	96.86 uWh	22.39 ug	24.0ms	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.525	6.0 GB
13	SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ddVioOdor1_1)	COMPLETED	18.55 mWh	4.29 mg	4s	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.633	6.0 GB
7	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ddVioOdor1_1)	COMPLETED	160.07 mWh	37.0 mg	13s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9059999999999999	12.0 GB
14	SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (ddVioOdor1_1)	COMPLETED	81.36 mWh	18.8 mg	6s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.924	12.0 GB
15	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (ddVioOdor1_1)	COMPLETED	2.77 mWh	641.04 ug	1s	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.495	100.0 MB
12	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ddVioOdor1_1)	COMPLETED	195.94 mWh	45.29 mg	16s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9	12.0 GB
8	SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ddVioOdor1_1)	COMPLETED	160.94 mWh	37.2 mg	13s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.912	12.0 GB
4	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (ddVioOdor1_1)	COMPLETED	703.93 mWh	162.69 mg	22s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.758	36.0 GB
17	SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ddVioOdor1_1)	COMPLETED	2.11  Wh	488.27 mg	2m 40s	2	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.986	12.0 GB
9	SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:BWAMEM2_INDEX (ddVioOdor1.fa)	COMPLETED	7.21  Wh	1.67  g	8m 11s	1	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.973	50.0 GB
78	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus82040rna)	COMPLETED	1.04  Wh	239.66 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7943333333333333	100.0 GB
47	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana28013rna)	COMPLETED	1.22  Wh	282.01 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9666666666666667	100.0 GB
126	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus74036cds)	COMPLETED	1.11  Wh	256.7 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8903333333333334	100.0 GB
55	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana34016rna)	COMPLETED	1.21  Wh	280.03 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9560000000000001	100.0 GB
45	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana20009cds)	COMPLETED	1.34  Wh	309.99 mg	28s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8786666666666667	100.0 GB
81	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus90044rna)	COMPLETED	1.12  Wh	259.65 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8460000000000001	100.0 GB
92	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus96047rna)	COMPLETED	1.06  Wh	245.15 mg	22s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8879999999999999	100.0 GB
115	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus62030cds)	COMPLETED	1.13  Wh	261.02 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9146666666666666	100.0 GB
116	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus36017rna)	COMPLETED	1.21  Wh	279.91 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9553333333333334	100.0 GB
122	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus50024cds)	COMPLETED	1.27  Wh	292.73 mg	27s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.849	100.0 GB
38	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana36017rna)	COMPLETED	1.2  Wh	277.68 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9433333333333334	100.0 GB
73	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana8003rna)	COMPLETED	1.14  Wh	262.93 mg	26s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.7545000000000001	100.0 GB
34	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana20009rna)	COMPLETED	1.21  Wh	280.38 mg	25s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8973333333333333	100.0 GB
61	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana32015rna)	COMPLETED	1.21  Wh	279.17 mg	24s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9513333333333333	100.0 GB
80	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus56027cds)	COMPLETED	1.13  Wh	261.5 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9173333333333333	100.0 GB
29	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (ArabidopsisThaliana42020cds)	COMPLETED	1.15  Wh	266.29 mg	23s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.9443333333333334	100.0 GB
103	SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (HelianthusAnnuus4001cds)	COMPLETED	1.22  Wh	282.36 mg	26s	6	12.0	Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz	0.8513333333333334	100.0 GB
