task_id	hash	native_id	process	tag	status	exit	cpus	memory	time	attempt	submit	start	complete	duration	%cpu	%mem	peak_rss	rchar	wchar
2	04/2080fb	5468478	SANGERTOL_GENOMENOTE:GENOMENOTE:INPUT_CHECK:SAMPLESHEET_CHECK	genomenote.csv	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:39.624	2023-11-27 00:10:41.356	2023-11-27 00:10:41.359	1.7s	92.3%	0.0%	3.1 MB	2 MB	2.1 KB
1	be/23822c	5468477	SANGERTOL_GENOMENOTE:GENOMENOTE:GUNZIP	GCA_950295315.1.fasta.gz	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:37.842	2023-11-27 00:10:41.318	2023-11-27 00:11:06.321	28.5s	97.5%	0.0%	4.4 MB	817.1 MB	2.6 GB
4	03/398861	5468488	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:SUMMARYSEQUENCE	GCA_950295315.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:07.080	2023-11-27 00:11:11.322	2023-11-27 00:11:16.323	9.2s	10.2%	0.0%	17.6 MB	1.6 MB	303 KB
3	74/39754a	5468489	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:SUMMARYGENOME	GCA_950295315.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:07.421	2023-11-27 00:11:11.323	2023-11-27 00:11:16.341	8.9s	18.1%	0.0%	4.2 MB	1.3 MB	10.1 KB
6	8a/6ac72c	5468487	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:SAMTOOLS_FAIDX	GCA_950295315.1.fasta	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:06.733	2023-11-27 00:11:11.319	2023-11-27 00:11:26.323	19.6s	93.1%	0.0%	4.8 MB	2.6 GB	53.5 KB
8	5e/612a62	5468494	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:NCBI_GET_ODB	GCA_950295315.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:16.900	2023-11-27 00:11:21.322	2023-11-27 00:11:26.427	9.5s	73.3%	0.0%	29.1 MB	10.9 MB	2.7 KB
9	ae/2b5e07	5468496	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:FILTER_GENOME	GCA_950295315.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:26.808	2023-11-27 00:11:31.321	2023-11-27 00:11:31.325	4.5s	94.1%	0.0%	2.8 MB	164 KB	85.4 KB
7	78/2aa29f	5468492	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:MERQURYFK_MERQURYFK	mEriEur2_T1	COMPLETED	0	6	19 GB	30m	1	2023-11-27 00:11:11.111	2023-11-27 00:11:16.371	2023-11-27 00:23:26.370	12m 15s	494.1%	4.1%	15.4 GB	259.9 GB	89.1 GB
5	96/e2d5ab	5468490	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:SAMTOOLS_VIEW	mEriEur1_T1	COMPLETED	0	1	1 GB	8h	1	2023-11-27 00:11:10.744	2023-11-27 00:11:16.369	2023-11-27 03:21:56.841	3h 10m 46s	99.7%	0.0%	26.3 MB	52.3 GB	66.6 GB
10	10/53472b	5468497	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:BUSCO	GCA_950295315.1_laurasiatheria	FAILED	140	10	32 GB	6h	1	2023-11-27 00:11:28.050	2023-11-27 00:11:31.340	2023-11-27 06:11:32.167	6h 4s	-	-	-	-	-
