task_id	hash	native_id	process	tag	status	exit	cpus	memory	time	attempt	submit	start	complete	duration	%cpu	%mem	peak_rss	rchar	wchar
2	71/90093b	5468475	SANGERTOL_GENOMENOTE:GENOMENOTE:INPUT_CHECK:SAMPLESHEET_CHECK	genomenote.csv	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:26.917	2023-11-27 00:10:30.334	2023-11-27 00:10:35.337	8.4s	24.5%	0.0%	16.1 MB	2 MB	2.1 KB
1	8b/9169d6	5468476	SANGERTOL_GENOMENOTE:GENOMENOTE:GUNZIP	GCA_949752795.1.fasta.gz	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:27.252	2023-11-27 00:10:30.835	2023-11-27 00:10:55.340	28.1s	97.8%	0.0%	4.5 MB	793 MB	2.7 GB
5	26/0db3e4	5468482	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:SUMMARYSEQUENCE	GCA_949752795.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:57.020	2023-11-27 00:11:00.342	2023-11-27 00:11:00.346	3.3s	15.0%	0.0%	17.6 MB	1.5 MB	169.9 KB
4	dd/8965b2	5468483	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:SUMMARYGENOME	GCA_949752795.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:57.333	2023-11-27 00:11:05.340	2023-11-27 00:11:05.344	8s	30.9%	0.0%	8.6 MB	1.3 MB	10 KB
3	eb/63061d	5468481	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:SAMTOOLS_FAIDX	GCA_949752795.1.fasta	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:10:56.693	2023-11-27 00:11:00.339	2023-11-27 00:11:10.343	13.7s	91.6%	0.0%	4.7 MB	2.7 GB	37.2 KB
8	a3/dbe315	5468486	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:NCBI_GET_ODB	GCA_949752795.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:05.695	2023-11-27 00:11:10.448	2023-11-27 00:11:15.344	9.6s	31.4%	0.0%	28.7 MB	10.9 MB	2.7 KB
9	a9/b5a05a	5468491	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:FILTER_GENOME	GCA_949752795.1	COMPLETED	0	1	50 MB	30m	1	2023-11-27 00:11:10.776	2023-11-27 00:11:15.359	2023-11-27 00:11:15.362	4.6s	61.0%	0.0%	2.8 MB	128.2 KB	57.2 KB
7	6b/0476a9	5468485	SANGERTOL_GENOMENOTE:GENOMENOTE:GENOME_STATISTICS:MERQURYFK_MERQURYFK	mHypAmp2_T1	COMPLETED	0	6	19 GB	30m	1	2023-11-27 00:10:57.983	2023-11-27 00:11:05.359	2023-11-27 00:22:45.394	11m 47s	509.6%	4.0%	15 GB	235.6 GB	83.1 GB
6	bb/89f826	5468484	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:SAMTOOLS_VIEW	mHypAmp1_T1	COMPLETED	0	1	1 GB	8h	1	2023-11-27 00:10:57.659	2023-11-27 00:11:05.357	2023-11-27 02:29:45.715	2h 18m 48s	99.7%	0.0%	25.6 MB	49 GB	66 GB
11	4e/a6e0e2	5468980	SANGERTOL_GENOMENOTE:GENOMENOTE:CONTACT_MAPS:BEDTOOLS_BAMTOBED	mHypAmp1_T1	COMPLETED	0	1	50 MB	4h	1	2023-11-27 02:29:46.141	2023-11-27 02:29:50.712	2023-11-27 05:21:31.196	2h 51m 45s	47.0%	0.0%	8.8 MB	66 GB	84.4 GB
